2020-06-16 14:06:02,120 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 14:58:24,190 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:00:30,512 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:01:30,973 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:06:58,061 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:08:00,179 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:08:38,640 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:10:10,011 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:10:39,319 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:12:10,496 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:13:42,263 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:16:55,337 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
2020-06-16 15:21:57,147 api_classfication.py [line:34] INFO {'Content-Type': 'application/json', 'Connection': 'keep-alive', 'User-Agent': 'EasyLife.alpha/1.4.2 (iPhone; iOS 10.2.1; Scale/3.00)'}
